WellName,phase,prod_date,cum_prod
TEMPLE FORK 32-20 X 24WB,Gas,2025-05-01,332072.5898312105
TEMPLE FORK 32-20 X 24WB,Gas,2025-06-01,384326.9131200166
TEMPLE FORK 32-20 X 24WB,Gas,2025-07-01,436581.2364088226
TEMPLE FORK 32-20 X 24WB,Oil,2024-10-01,72720.56539297919
TEMPLE FORK 32-20 X 24WB,Oil,2024-11-01,87608.47053950501
TEMPLE FORK 32-20 X 24WB,Oil,2024-12-01,102496.37568603085
TEMPLE FORK 32-20 X 24WB,Oil,2025-01-01,117384.28083255667
TEMPLE FORK 32-20 X 24WB,Oil,2025-02-01,135393.7558247903
TEMPLE FORK 32-20 X 24WB,Oil,2025-03-01,153403.23081702393
TEMPLE FORK 32-20 X 24WB,Oil,2025-04-01,171412.70580925755
TEMPLE FORK 32-20 X 24WB,Oil,2025-05-01,185329.29481205344
TEMPLE FORK 32-20 X 24WB,Oil,2025-06-01,199245.88381484934
TEMPLE FORK 32-20 X 24WB,Oil,2025-07-01,213162.47281764523
TEMPLE FORK 32-20 X 24WB,Water,2024-10-01,124388.7853370612
TEMPLE FORK 32-20 X 24WB,Water,2024-11-01,150865.9521590556
TEMPLE FORK 32-20 X 24WB,Water,2024-12-01,177343.11898104998
TEMPLE FORK 32-20 X 24WB,Water,2025-01-01,203820.2858030444
TEMPLE FORK 32-20 X 24WB,Water,2025-02-01,237790.20399710053
TEMPLE FORK 32-20 X 24WB,Water,2025-03-01,271760.12219115667
TEMPLE FORK 32-20 X 24WB,Water,2025-04-01,305730.0403852128
TEMPLE FORK 32-20 X 24WB,Water,2025-05-01,333080.4079942011
TEMPLE FORK 32-20 X 24WB,Water,2025-06-01,360430.77560318937
TEMPLE FORK 32-20 X 24WB,Water,2025-07-01,387781.1432121777
